
X = -3.32957   Y = -7.3716   Z = 22.3851
X = -3.33266   Y = -7.39865   Z = 22.5543
X = -3.34524   Y = -7.39826   Z = 22.5844
X = -3.32706   Y = -7.3832   Z = 22.5269
X = -3.34112   Y = -7.39818   Z = 22.6098
X = -3.34449   Y = -7.39549   Z = 22.5714
X = -3.32811   Y = -7.36783   Z = 22.4927
X = -3.33692   Y = -7.34321   Z = 22.4852
X = -3.33862   Y = -7.39106   Z = 22.5893
X = -3.33862   Y = -7.34414   Z = 22.4498
X = -3.3283   Y = -7.43256   Z = 22.6565
X = -3.36   Y = -7.34946   Z = 22.5034
X = -3.34724   Y = -7.38013   Z = 22.5735
X = -3.35624   Y = -7.37415   Z = 22.5975
X = -3.3252   Y = -7.35232   Z = 22.4646
X = -3.31842   Y = -7.39166   Z = 22.5261
X = -3.32157   Y = -7.37711   Z = 22.5254
X = -3.34616   Y = -7.35613   Z = 22.5301
X = -3.33188   Y = -7.37644   Z = 22.452
X = -3.33999   Y = -7.36509   Z = 22.4939
X = -3.3349   Y = -7.37421   Z = 22.5204
X = -3.33869   Y = -7.35856   Z = 22.4358
X = -3.32408   Y = -7.35062   Z = 22.4642
X = -3.34407   Y = -7.39341   Z = 22.5904
X = -3.3299   Y = -7.38255   Z = 22.53
X = -3.32857   Y = -7.37027   Z = 22.4931
